r_mult,pts,exit_reason,sl_pts,entry_px,exit_px,timestamp,date,session,pred_class,regime,direction,confidence,atr_entry,pnl_usd,win,year,month
0.0,0.0,BE,6.0,20980.0,20980.0,2024-09-02 10:10:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9938272833824158,5.857142857142857,0.0,0,2024,2024-09
0.0,0.0,BE,6.0,20971.75,20971.75,2024-09-02 10:11:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9970148801803589,6.357142857142857,0.0,0,2024,2024-09
-1.0,-6.0,SL,6.0,20976.25,20970.25,2024-09-02 10:12:00,2024-09-02,LON,4,LONG_REV,LONG,0.9704960584640503,6.714285714285714,-120.0,0,2024,2024-09
0.0,0.0,BE,6.0,20966.75,20966.75,2024-09-02 10:13:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9990783929824829,7.339285714285714,0.0,0,2024,2024-09
-1.0,-6.0,SL,6.0,20971.0,20965.0,2024-09-02 10:15:00,2024-09-02,LON,4,LONG_REV,LONG,0.979806661605835,6.678571428571429,-120.0,0,2024,2024-09
0.0,0.0,BE,6.0,20963.5,20963.5,2024-09-02 10:16:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9975230097770691,6.625,0.0,0,2024,2024-09
0.0,0.0,BE,6.0,20958.5,20958.5,2024-09-02 10:17:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9909736514091492,6.678571428571429,0.0,0,2024,2024-09
-1.0,-6.0,SL,6.0,20960.75,20954.75,2024-09-02 10:19:00,2024-09-02,LON,4,LONG_REV,LONG,0.9892082810401917,6.785714285714286,-120.0,0,2024,2024-09
0.0,0.0,BE,6.0,20951.5,20951.5,2024-09-02 10:20:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9257787466049194,7.107142857142857,0.0,0,2024,2024-09
0.0,0.0,BE,6.0,20958.0,20958.0,2024-09-02 10:21:00,2024-09-02,LON,4,LONG_REV,LONG,0.992233395576477,7.482142857142857,0.0,0,2024,2024-09
-0.9999999999998628,-6.057142857142026,SL,6.057142857142857,20961.0,20954.942857142858,2024-09-02 10:22:00,2024-09-02,LON,4,LONG_REV,LONG,0.9959909319877625,7.571428571428571,-121.14285714284051,0,2024,2024-09
-0.9999999999997226,-6.371428571426804,SL,6.371428571428572,20955.0,20961.371428571427,2024-09-02 10:23:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9654215574264526,7.964285714285714,-127.42857142853609,0,2024,2024-09
-0.9999999999999833,-6.257142857142753,SL,6.257142857142857,20960.25,20953.992857142857,2024-09-02 10:24:00,2024-09-02,LON,4,LONG_REV,LONG,0.9905382394790649,7.821428571428571,-125.14285714285506,0,2024,2024-09
-1.0,-6.0,SL,6.0,20960.0,20954.0,2024-09-02 10:25:00,2024-09-02,LON,4,LONG_REV,LONG,0.9946770668029785,7.357142857142857,-120.0,0,2024,2024-09
0.0,0.0,BE,6.0,20955.75,20955.75,2024-09-02 10:26:00,2024-09-02,LON,1,SHORT_BREAK,SHORT,0.9935140609741211,7.339285714285714,0.0,0,2024,2024-09
-1.0,-6.0,SL,6.0,20958.75,20952.75,2024-09-02 10:27:00,2024-09-02,LON,4,LONG_REV,LONG,0.9944393634796143,7.142857142857143,-120.0,0,2024,2024-09
